Date,Ticker,Headline,Description
2020-07-16,MSFT,"Attorney General Barr accuses Hollywood, Big Tech of collaborating with China","U.S. Attorney General William Barr took aim at Hollywood companies, including Walt Disney Co  on Thursday as well as large technology firms like Apple, Alphabet's Google and Microsoft Corp over company actions with China."
2020-07-16,AAPL,"Attorney General Barr accuses Hollywood, Big Tech of collaborating with China","U.S. Attorney General William Barr took aim at Hollywood companies, including Walt Disney Co  on Thursday as well as large technology firms like Apple, Alphabet's Google and Microsoft Corp over company actions with China."
2020-07-16,GOOGL,"Attorney General Barr accuses Hollywood, Big Tech of collaborating with China","U.S. Attorney General William Barr took aim at Hollywood companies, including Walt Disney Co  on Thursday as well as large technology firms like Apple, Alphabet's Google and Microsoft Corp over company actions with China."
2020-07-16,MS,Morgan Stanley posts record profit on trading boom,Morgan Stanley posted a record quarterly profit on Thursday that blew past analysts' expectations as another of Wall Street's big investment banks gained from huge swings in financial markets due to the coronavirus crisis.
2020-07-16,TWTR,Twitter silences some top accounts after internal systems hacked,"Twitter  said hackers accessed its internal systems to hijack some of the platform's top voices including U.S. presidential candidate Joe Biden, reality TV star Kim Kardashian, former U.S. President Barack Obama and billionaire Elon Musk and used them to solicit digital currency."
2020-07-16,META,Privacy activist Schrems welcomes EU court decision on Facebook,"Austrian privacy activist Max Schrems on Thursday welcomed a decision by the European Union's top court in his case against Facebook, saying the legal basis for more then 5,000 U.S. companies that use an EU tool to transfer Europeans' personal data to the United States for commercial use has been annulled."
2020-07-16,PSI,Malaysian court grants temporary freeze on $340 million 1MDB money in UK,"A Malaysian court on Thursday granted an interim order to stop Saudi energy firm PetroSaudi International (PSI) from using more than $340 million in funds in Britain, which Malaysian prosecutors believe was siphoned from state fund 1MDB."
2020-07-16,TWTR,"Twitter shares stumble after high-profile, unprecedented hack","Shares of Twitter Inc dropped more than 4% in pre-market trading on Thursday, a day after hackers gained access to the social media company's internal systems to hijack accounts of several politicians, billionaires, celebrities and companies."
2020-07-16,AAPL,Apple expands coding education programs to more historically Black schools,"Apple Inc said on Thursday it was working with 10 additional historically Black universities and colleges to become ""hubs"" that will teach computer programming and app design skills in their regions."
2020-07-16,META,Irish regulator sees U.S. data transfers decided on 'case by case' basis,"Ireland's Data Protection Commissioner, the lead data regulator for Facebook in the European Union, on Thursday ""strongly welcomed"" a ruling by Europe's highest court that a transatlantic data transfer deal was invalid."
2020-07-16,TWTR,Twitter hacking spree alarms experts concerned about the platform's security,"The extraordinary hacking spree that hit Twitter on Wednesday, leading it to briefly muzzle some of its most widely followed accounts, is drawing questions about the platform's security and resilience in the run-up to the U.S. presidential election."
2020-07-16,GS,Insurers favor warehouse investments over offices as pandemic hastens real estate shifts,"Global insurers want to increase investments in commercial warehouses as their stakes in office space become riskier because of employees working remotely during the novel coronavirus pandemic, Goldman Sachs Asset Management (GSAM) executives said."
2020-07-16,GSAM,Insurers favor warehouse investments over offices as pandemic hastens real estate shifts,"Global insurers want to increase investments in commercial warehouses as their stakes in office space become riskier because of employees working remotely during the novel coronavirus pandemic, Goldman Sachs Asset Management (GSAM) executives said."
2020-07-16,BAC,Bank of America profit slumps as heavy loan losses loom,"Bank of America Corp  saw its profit more than halve in the second quarter as it set aside $5 billion to cover potential loan losses, while warning that it would struggle as long as interest rates stayed low."
2020-07-16,GOOGL,"YouTube not liable for user copyright breaches, EU court adviser says","Google's YouTube and other online platforms are not liable when users illegally upload copyrighted works onto their platforms, but rightholders can ask for injunctions against the companies, a European Union Court of Justice adviser said on Thursday."
2020-07-16,META,Facebook studying EU court ruling on data transfer,Facebook said on Thursday it was looking at the implications of a European court ruling that deemed a transatlantic data transfer deal invalid because of concerns about U.S. surveillance.
2020-07-16,AMZN,Amazon India demands product listings have country of origin by August 10,"Amazon.com Inc's India unit has told sellers they must provide country of origin information on product listings by August 10, according to an email sent by the e-commerce giant to sellers, against a backdrop of brewing anti-China sentiment."
2020-07-16,AAPL,"EU's Vestager says court rulings on Apple taxes, EU data transfer tool are a 'loss'","The European Union's antitrust chief Margrethe Vestager said on Thursday that EU court rulings this week, which saw courts reject a key EU tool used to transfer Europeans' personal data across the Atlantic and reject an EU order for Apple to pay 13 billion euros in Irish back taxes, were a ""loss""."
2020-07-16,META,Communication collapse: Inside Facebook's tussle with Brazil's central bank,Allowing millions of Brazilian users of Facebook's  WhatsApp to send money as easily as texts seemed a golden opportunity for the world's largest social media company.
2020-07-16,WRCDF,"Germany’s long, lonely campaign: Battling Wirecard’s short sellers","German authorities pressed on for four years investigating investors who bet against Wirecard AG's shares, even after a UK regulator concluded that their evidence against the short sellers was ""not sufficient,"" according to documents and people familiar with the matter."
2020-07-16,WMT,"India's Reliance seen emerging as bigger threat for U.S. firms like Amazon, Walmart","A $20 billion fund raising spree may take India's Reliance closer to its dream of becoming a digital giant, further threatening the ambitious plans U.S. companies like Amazon, Walmart and Zoom have for India."
2020-07-16,AMZN,"India's Reliance seen emerging as bigger threat for U.S. firms like Amazon, Walmart","A $20 billion fund raising spree may take India's Reliance closer to its dream of becoming a digital giant, further threatening the ambitious plans U.S. companies like Amazon, Walmart and Zoom have for India."
2020-07-16,TWTR,Many verified Twitter accounts able to post again after hacking,"Twitter  users with verified accounts started to be able to send tweets again at around 8:30 pm EDT, after the company had silenced some of its highest-profile users in response to an hours-long security incident."
2020-07-16,TWTR,Trumps tweet support for Goya Foods amid boycott campaign,"U.S. President Donald Trump and his daughter and adviser Ivanka Trump are rallying support for Goya Foods on Twitter, as social media pressure continues for boycotting the largest Hispanic-owned U.S. food company over its CEO's effusive praise for Trump."
2020-07-16,TSLA,Tesla registrations in California nearly halve in second quarter: data,"Tesla Inc's  vehicle registrations nearly halved in the U.S. state of California during the second quarter, according to data from Cross-Sell, a marketing research firm that collates title and registration data."
2020-07-15,MSFT,"Google ties more work tools into Gmail, aiming to get ahead of Microsoft","Alphabet Inc's  Google said on Wednesday its corporate Gmail customers would now be able to edit documents and other files without leaving the email service, as it aims to lure clients from rivals by making its tools more integrated."
2020-07-15,GOOGL,"Google ties more work tools into Gmail, aiming to get ahead of Microsoft","Alphabet Inc's  Google said on Wednesday its corporate Gmail customers would now be able to edit documents and other files without leaving the email service, as it aims to lure clients from rivals by making its tools more integrated."
2020-07-15,GS,"Wall Street rallies on vaccine bets, Goldman results","U.S. stocks ended sharply higher on Wednesday, with the S&P 500 at its highest since early June, following promising early data for a potential COVID-19 vaccine and a strong quarterly report from Goldman Sachs."
2020-07-15,WMT,"Major U.S. retailers Walmart, Kroger will require customers to wear masks","Walmart Inc, Kroger Co and Kohls Corp will require shoppers to wear face coverings starting next week, the retailers said on Wednesday, imposing a widely-accepted protective measure as coronavirus cases jump across the United States."
2020-07-15,ISS,Boeing to support NASA with ISS operations through 2024,Boeing Co  said on Wednesday it would support International Space Station (ISS) operations through September 2024 as part of a $916 million contract extension with NASA.
2020-07-15,BA,Boeing to support NASA with ISS operations through 2024,Boeing Co  said on Wednesday it would support International Space Station (ISS) operations through September 2024 as part of a $916 million contract extension with NASA.
2020-07-15,DIS,Virgin Galactic ropes in Disney veteran as CEO,"Billionaire Richard Branson's Virgin Galactic Holdings Inc  on Wednesday named Walt Disney Co  executive Michael Colglazier as its new chief executive officer, sending its shares up 4.3% in extended trade."
2020-07-15,AAPL,"Apple expands news offerings with audio, local newspaper stories","Apple Inc  on Wednesday expanded its news offerings with audio versions of stories narrated by voice actors for subscribers, a morning newscast hosted by two journalists and more access to local newspaper stories."
2020-07-15,AMZN,"Amazon extends work from home policy, still restricting travel","Amazon.com Inc  has extended a work-from-home policy until Jan. 8 and is continuing to ask employees to defer all non-essential travel, a spokeswoman said on Wednesday."
2020-07-15,TSLA,No coronavirus risk to Tesla's Elon Musk after meeting with Oklahoma governor: spokesman,"Tesla Inc Chief Executive Elon Musk and other Tesla employees are not at risk of having contracted the novel coronavirus after a July 3 meeting with Oklahoma's governor, who said on Wednesday he had tested positive for the virus, a spokesman for the governor said."
2020-07-15,AAPL,Blow for EU as Apple wins fight against $15 billion tax order,"Apple scored a major win on Wednesday as Europe's second-highest court rejected an EU order for the iPhone maker to pay 13 billion euros ($15 billion) in Irish back taxes, dealing a blow to the bloc's attempts to crack down on sweetheart tax deals."
2020-07-15,GOOGL,Google backs Reliance's Jio Platforms with $4.5 billion India investment,"Alphabet Inc's Google will invest $4.5 billion in Reliance Industries' digital unit, the Indian group said on Wednesday as it laid out an ambitious roadmap for its businesses ranging from entertainment to retail."
2020-07-15,GS,"Goldman Sachs leans on trading profits to boost capital, legal reserves","Goldman Sachs Group Inc's  outsized reliance on trading and investment banking became a big advantage in the second quarter, driving up revenue while avoiding losses due to the coronavirus, but the pop may prove to be fleeting."
2020-07-15,WRCDF,German watchdog under EU scrutiny as it widens Wirecard investigation,The European Union's markets watchdog said on Wednesday that it was reviewing Germany's financial reporting set-up in the wake of Wirecard's  collapse as Germany widened its own investigation into the failed company.
2020-07-15,WRCDF,German's watchdog widens probe of possible Wirecard insider trading,"Germany's financial watchdog is widening its examination into possible insider trading of Wirecard shares to include any individuals who have sat on the company's management and supervisory boards in 2020, a BaFin spokeswoman said on Wednesday."
2020-07-15,AAPL,"Policymakers will tread carefully on tax reform after Apple ruling, says Ireland's Donohoe","Policymakers will pay greater care to the legal foundations of corporate tax reforms after an EU order for Apple to pay 13 billion euros ($14.9 billion) in Irish back taxes was rejected in court, Ireland's finance minister said on Wednesday."
2020-07-15,GOOGL,EU regulators seek feedback on Google's Fitbit data pledge,"EU antitrust enforcers are asking interested parties whether Google's pledge not to use fitness tracker maker Fitbit's  health data for its advertising, and to separate the dataset from its own, might ease concerns over their tie up."
2020-07-15,AAPL,"No time frame for any possible Apple appeal, EU Commission says","The European Commission could not say on Wednesday how long it might take to decide whether or not to appeal an earlier court tax ruling on iPhone maker Apple, a spokeswoman for the EU executive told reporters."
2020-07-15,AAPL,Ireland welcomes annulling of EU Apple tax order,Ireland welcomed the judgment by Europe's second-top court on Wednesday to reject a European Union order that iPhone maker Apple pay 13 billion euros ($14.78 billion) in Irish back taxes.
2020-07-15,AAPL,Apple welcomes court ruling against EU tax order,Apple said on Wednesday that it was pleased that Europe's second-top court had rejected an EU order to the iPhone maker to pay 13 billion euros ($14.78 billion) in Irish back taxes.
2020-07-15,AAPL,EU's Vestager vows to continue tax fight after Apple setback,"EU antitrust chief Margrethe Vestager vowed on Wednesday to continue her fight against tax measures used by multinationals despite a setback dealt by Europe's second-top court, which earlier scrapped her 13 billion euro tax order to Apple."
2020-07-15,T,Airbnb says one million nights booked in one day,"(This July 14 story, corrects headline, first paragraph to say guests booked 1 million nights)"
2020-07-15,T,Wanted: signs of V-shaped recovery in earnings reports,"(This July 14 story corrects currency conversion, paragraph 7.)"
2020-07-15,META,Coronavirus cost jobs at a third of small firms open in May: global Facebook survey,"One small firm in three around the world was obliged to cut jobs to stay open through the coronavirus pandemic in May, a survey showed on Wednesday, underlining how hard the outbreak has slammed the world economy."
2020-07-15,AAPL,"Over 2,500 games removed from Apple's China App Store after loophole shuts: data firm","More than 2,500 mobile games were removed from Apple's China app store in the first week of July, four times as many in the same period in June, after Apple closed a loophole to comply with Chinese licence requirements, data from SensorTower showed."
2020-07-14,TSLA,Tesla secures tax breaks for cybertruck factory in Texas,A central Texas county that includes Austin on Tuesday approved a plan to provide millions in tax subsidies to Tesla Inc  if it builds a $1.1 billion vehicle factory in the area.
2020-07-14,AAPL,Crunch time for Apple in fight against $15 billion EU tax order,"Apple's clash with EU competition regulators comes to a head on Wednesday as Europe's second-highest court rules on whether it has to pay 13 billion euros ($15 billion) in Irish back taxes, a key part of the EU's crackdown against sweetheart tax deals."
2020-07-14,WTI,Oil rises slightly as OPEC+ complies with production cuts,"Oil prices rose slightly on Tuesday as OPEC and its allies cut production by more than agreed to in June, although demand concerns lingered due to increased cases of COVID-19 in the United States. Brent crude  futures settled up 18 cents at $42.90 a barrel, after moving lower earlier in the session. U.S. West Texas Intermediate (WTI) crude  futures rose 19 cents to $40.29 a barrel."
2020-07-14,NFLX,Virus worries and FOMO drive options bets on surging tech giants,"Options investors are ramping up bets on some of this year's  biggest winners, including Amazon.com Inc , Netflix Inc  and Tesla Inc , even as they turn cautious on the wider market amid a resurgent U.S. coronavirus outbreak."
2020-07-14,AMZN,Virus worries and FOMO drive options bets on surging tech giants,"Options investors are ramping up bets on some of this year's  biggest winners, including Amazon.com Inc , Netflix Inc  and Tesla Inc , even as they turn cautious on the wider market amid a resurgent U.S. coronavirus outbreak."
2020-07-14,TSLA,Virus worries and FOMO drive options bets on surging tech giants,"Options investors are ramping up bets on some of this year's  biggest winners, including Amazon.com Inc , Netflix Inc  and Tesla Inc , even as they turn cautious on the wider market amid a resurgent U.S. coronavirus outbreak."
2020-07-14,GOOGL,Google faces lawsuit over tracking in apps even when users opted out,"Alphabet Inc's  Google records what people are doing on hundreds of thousands of mobile apps even when they follow the company's recommended settings for stopping such monitoring, a lawsuit seeking class action status alleged on Tuesday."
2020-07-14,TSLA,Free pizza and a 75-foot statue of Musk: the battle for the next Tesla plant,"Tulsa, Oklahoma, is an oil-industry town with a 75-foot (23 m) statue called ""The Golden Driller."""
2020-07-14,APD,"Google hit with 600,000 euro Belgian privacy fine","Google has received a record fine from Belgium's data protection authority (APD) of 600,000 euros for not complying with European rules on a person's ""right to be forgotten"" online."
2020-07-14,GOOGL,"Google hit with 600,000 euro Belgian privacy fine","Google has received a record fine from Belgium's data protection authority (APD) of 600,000 euros for not complying with European rules on a person's ""right to be forgotten"" online."
2020-07-14,WRCDF,German watchdog files new Wirecard insider trading complaint,The German financial watchdog BaFin said on Tuesday that it had filed a complaint with Munich prosecutors over a further episode of alleged insider trading in Wirecard.
2020-07-14,NFLX,Can Netflix stay one of Wall Street's favorite pandemic stocks? Results due Thursday,Netflix Inc will tell investors on Thursday how home-bound audiences and a lack of live sports have boosted its membership rolls even as streaming competition rises to unprecedented levels.
2020-07-14,BA,Boeing 737 MAX cancellations top 350 planes in first half of 2020,"Boeing Co customers canceled orders for 355 of its 737 MAX jets in the first half of 2020, the U.S. planemaker said on Tuesday, as the damage done by the jet's grounding and the coronavirus crisis to the airline industry continued to mount."
2020-07-14,JPM,JPMorgan braces for loan losses as trading props up profit,"JPMorgan Chase & Co beat Wall Street profit estimates in the second quarter due to a surge in trading revenue while setting aside a record $10.5 billion to cover future defaults, as the bank predicts the United States faces a tougher path to economic recovery."
2020-07-14,BDNCE,India quizzing owners of banned Chinese apps over content and practices,"Chinese companies such as TikTok-owner ByteDance have been asked by India to answer 77 questions about their apps that have been banned by New Delhi, including whether they censored content, worked on behalf of foreign governments or lobbied influencers."
2020-07-14,TSLA,German court bans Tesla ad statements related to autonomous driving,"Germany has banned Tesla from repeating what a court says are misleading advertising statements relating to the capabilities of the firm's driver assistance systems and to autonomous driving, a Munich judge ruled on Tuesday."
2020-07-14,AMZN,India's Flipkart to raise $1.2 billion in Walmart-led funding,"Flipkart will raise $1.2 billion in funding led by majority owner Walmart Inc , the Indian e-commerce firm said on Tuesday, as it looks to compete better with Amazon.com Inc  in a coronavirus-hit market."
2020-07-14,WMT,India's Flipkart to raise $1.2 billion in Walmart-led funding,"Flipkart will raise $1.2 billion in funding led by majority owner Walmart Inc , the Indian e-commerce firm said on Tuesday, as it looks to compete better with Amazon.com Inc  in a coronavirus-hit market."
2020-07-14,AMZN,Amazon tests primary healthcare program for employees,Amazon.com Inc  said on Tuesday it launched a pilot healthcare program for its employees and their families to provide primary services such as vaccination and physical therapy.
2020-07-14,AAPL,"Bill Gross predicts value outperforms growth, based on rates correlation","Billionaire investor Bill Gross is predicting that value stocks like IBM  and Altria Group  are likely to fare better than growth stocks like Apple  or Amazon.com  in the near term, due to a correlation with real interest rates."
2020-07-14,AMZN,"Bill Gross predicts value outperforms growth, based on rates correlation","Billionaire investor Bill Gross is predicting that value stocks like IBM  and Altria Group  are likely to fare better than growth stocks like Apple  or Amazon.com  in the near term, due to a correlation with real interest rates."
2020-07-14,GOOGL,Google offers data pledge in bid to win EU okay for Fitbit buy,"Alphabet Inc's  Google has offered not to use health data of fitness tracker company Fitbit to help it target ads in an attempt to address EU antitrust concerns about its proposed $2.1 billion acquisition, the U.S. tech company said late on Monday."
2020-07-14,BDNCE,TikTok's U.S. users prepare for life without the video app,"Ty Gibson, 20, of Greensboro, North Carolina, brushed off speculation last week on TikTok that his favorite video sharing platform was going to be banned."
2020-07-14,BAC,"Investors seek more euro exposure, expect a choppy summer: BofA","Global fund managers said the euro was cheap and they were seeking more exposure to it and European equities on the back of a massive fiscal stimulus plan, a Bank of America survey showed on Tuesday."
2020-07-14,GOOGL,"Google in talks to invest $4 billion in Reliance's digital arm, Bloomberg reports","Alphabet Inc's Google is in advanced talks to invest $4 billion for a stake in the digital arm of Indian conglomerate Reliance Industries Ltd, Bloomberg reported on Tuesday, citing people familiar with the matter."
2020-07-14,TSLA,Chongqing city district says it discussed projects with Tesla,"U.S. automaker Tesla Inc  has met with officials from a district in the city of Chongqing in southwestern China to discuss ""accelerating projects"", the Liangjiang New Area said on Tuesday."
2020-07-14,EV,"Hyundai Motor Group head says Hyundai, Kia to sell one million EVs in 2025","Hyundai Motor Group leader Euisun Chung said on Tuesday flagship Hyundai Motor  and sister company Kia Motors  aim to sell 1 million electric vehicles (EVs) in 2025, together targeting over 10% of global market share of EVs."
2020-07-13,IPO,First companies obtain regulatory approval for IPOs under new ChiNext system,"Three Chinese companies have become the first to obtain regulatory approval to publicly list on Shenzhen's start-up board ChiNext, after a recent reform aimed at fast-tracking initial public offerings (IPOs)."
2020-07-13,MSFT,S&P 500 and Nasdaq end lower after sharp drop in tech titans,"The S&P 500 and Nasdaq ended lower on Monday, pulled down by Amazon, Microsoft and other recent big-name leaders of Wall Street's recent rally."
2020-07-13,AMZN,S&P 500 and Nasdaq end lower after sharp drop in tech titans,"The S&P 500 and Nasdaq ended lower on Monday, pulled down by Amazon, Microsoft and other recent big-name leaders of Wall Street's recent rally."
2020-07-13,TSLA,Tesla taps brake on massive stock rally,"Shares of Tesla ended down 3.1% on Monday, tapping the brakes on a rally that has boosted the electric car maker's stock by over 40% in two weeks."
2020-07-13,BALPA,British pilot union to hold confidence vote in easyJet COO,"EasyJet's  new chief operating officer, Peter Bellew, will face a vote of confidence from pilots this week, the British Airline Pilots Association (BALPA) said on Monday."
2020-07-13,AAPL,Apple says full return to offices not until the end of the year: Bloomberg News,"Apple Inc  has told its staff that a full return to U.S. offices will not occur before the end of the year, Bloomberg News reported on Monday, citing an internal video message."
2020-07-13,TSLA,Tesla slashes Model Y SUV price as pandemic weighs on auto sector,"Tesla Inc  cut the price of its sport utility vehicle Model Y by $3,000, just four months after its launch, as the U.S. electric carmaker seeks to maintain sales momentum in the COVID-19 pandemic."
2020-07-13,META,"EU top court to rule in landmark Facebook, Schrems privacy case","Europe's top court will on Thursday rule on the legality of tools companies use to transfer Europeans' data around the world, in the latest clash between Facebook and Austrian privacy activist Max Schrems."
2020-07-13,DIS,Disney to shut Hong Kong Disneyland again as coronavirus cases rise,"Walt Disney Co  is temporarily closing its Hong Kong Disneyland theme park from July 15 amid rising coronavirus cases in the Chinese-ruled city, the company said Monday."
2020-07-13,GOOGL,Alphabet's Google commits $10 billion to accelerate digitization in India,"Alphabet Inc's Google on Monday said it would spend around $10 billion in India over the next five to seven years through equity investments and tie-ups, marking its biggest commitment to a key growth market."
2020-07-13,AAPL,"Britain set to ban Huawei from 5G, though timescale unclear",Prime Minister Boris Johnson is set to ban Huawei from Britain's 5G network in a landmark decision that will anger Beijing but win plaudits from President Donald Trump as the United States grapples with China's rising economic and technological clout.
2020-07-13,T,Accused Ghosn escape plotters too much flight risk for bail: U.S. judge,"(This June 7 story, refiles to correct date in final paragraph to July 28)"
2020-07-13,TWTR,UK government to make Huawei statement on Tuesday,"British minister Oliver Dowden will make a statement to parliament on Huawei some time after 1130 GMT on Tuesday, the opposition Labour Party said on Twitter."
